2026-08-19 15:20:03 INFO    bot.runner: single pass started at 15:20 UTC
2026-08-19 15:20:05 INFO    bot.paper: paper ETHUSDT closed by TP at 1952.25, pnl=0.71
2026-08-19 15:20:05 INFO    bot.paper: paper SOLUSDT closed by TP at 79.69, pnl=1.48
2026-08-19 15:20:06 INFO    bot.runner: reconciled exchange-closed position ETHUSDT pnl=0.7123003199999958
2026-08-19 15:20:06 INFO    bot.runner: reconciled exchange-closed position SOLUSDT pnl=1.4821312000000195
2026-08-19 15:20:07 INFO    bot.strategy: BTCUSDT: score=52.9 action=long position=None
2026-08-19 15:20:07 INFO    bot.paper: paper opened Buy BTCUSDT qty=0.0067 at 66684.8 sl=66258.5 tp=67224.6
2026-08-19 15:20:08 INFO    bot.strategy: ETHUSDT: score=52.9 action=long position=None
2026-08-19 15:20:08 INFO    bot.runner: ETHUSDT in cooldown, skipping entry
2026-08-19 15:20:08 INFO    bot.strategy: SOLUSDT: score=52.9 action=long position=None
2026-08-19 15:20:08 INFO    bot.runner: SOLUSDT in cooldown, skipping entry
2026-08-19 15:20:08 INFO    bot.runner: single pass finished
